Label (Grouping),Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Eastland County, Texas","17,725","16,266","14,677",356,150,104,16,963,"1,459","1,389",80,336,32,2,889,14,4,0,11,0,3,14,1,3,0,64,16,0,0,9,5,0,19,5,7,1,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ector County, Texas","165,171","126,571","79,965","8,031","1,657","2,339",356,"34,223","38,600","37,989",853,"1,529",397,38,"34,346",43,19,10,330,1,2,303,10,86,22,573,62,10,3,114,13,0,306,1,50,4,3,0,4,3,0,0,0,0,0,0,35,3,0,30,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Edwards County, Texas","1,422","1,099",961,2,9,11,1,115,323,296,0,18,0,1,272,4,0,0,0,0,0,1,0,0,0,19,0,0,1,2,0,1,5,3,5,0,1,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2
"Ellis County, Texas","192,455","166,796","118,993","24,305","1,688","1,582",218,"20,010","25,659","24,804","1,704","3,222",738,92,"18,103",182,79,18,300,7,4,273,25,42,15,790,177,29,0,133,25,7,322,28,48,0,4,0,10,0,3,0,0,0,4,0,60,5,0,35,7,4,1,6,0,0,0,0,0,0,0,2,5,0,4,0,0,1,0,0,0
"El Paso County, Texas","865,657","555,390","313,741","29,054","10,337","12,073","1,885","188,300","310,267","303,851","3,606","4,072","3,175",305,"286,236",457,438,108,"2,161",79,13,"2,128",315,595,163,"5,850",397,207,17,"1,160",172,23,"2,703",124,793,67,21,0,67,22,26,8,3,22,0,18,497,81,0,246,2,50,3,3,85,0,24,0,0,0,1,2,64,7,47,8,0,1,1,5,5
"Erath County, Texas","42,545","38,356","32,674","1,247",416,353,14,"3,652","4,189","3,978",205,757,110,2,"2,755",8,4,2,46,6,0,45,32,6,0,192,70,10,3,34,1,2,48,5,8,0,0,0,0,6,0,2,0,0,0,3,14,2,0,3,0,0,1,3,0,2,2,0,1,0,0,0,5,0,2,0,0,3,0,0,0
"Falls County, Texas","16,968","15,621","9,870","3,792",114,56,8,"1,781","1,347","1,296",147,163,19,0,890,16,7,0,20,5,0,23,0,6,0,47,14,0,1,16,3,0,3,0,2,2,3,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Fannin County, Texas","35,662","33,049","28,249","2,217",417,152,25,"1,989","2,613","2,530",310,953,129,2,"1,044",15,6,5,16,8,2,36,0,4,0,76,35,0,1,13,5,0,12,0,3,0,4,0,0,0,0,0,0,1,0,2,7,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fayette County, Texas","24,435","21,922","18,286","1,462",174,71,6,"1,923","2,513","2,437",180,285,27,3,"1,838",12,1,0,32,3,3,45,2,1,5,69,15,1,0,7,1,0,26,4,6,0,4,0,0,0,2,0,0,0,1,2,6,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
"Fisher County, Texas","3,672","3,328","2,921",107,30,14,2,254,344,325,24,39,0,3,249,1,0,0,5,0,0,3,1,0,0,15,1,5,0,2,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0
"Floyd County, Texas","5,402","3,949","3,101",158,15,12,5,658,"1,453","1,417",19,34,13,4,"1,329",10,0,0,7,0,0,1,0,0,0,28,4,0,0,1,1,0,11,0,2,6,3,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Foard County, Texas","1,095","1,030",924,19,0,5,1,81,65,54,4,15,0,2,27,1,0,0,3,0,0,1,0,0,1,6,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Fort Bend County, Texas","822,779","715,862","282,222","170,978","4,574","182,537",371,"75,180","106,917","102,368","5,713","4,796","7,752",181,"76,324",814,955,116,"2,985",254,18,"1,146",349,903,62,"4,107",617,292,5,728,201,3,"1,348",101,581,9,17,3,102,21,49,0,0,11,0,19,402,94,4,196,19,34,0,10,39,2,0,0,3,0,1,0,40,10,24,6,0,0,0,0,0
"Franklin County, Texas","10,359","9,396","8,138",399,77,68,6,708,963,916,70,284,25,7,495,5,0,8,7,2,0,11,0,2,0,41,17,0,0,19,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0
"Freestone County, Texas","19,435","18,238","13,337","2,765",146,73,14,"1,903","1,197","1,119",191,252,18,9,562,22,2,0,19,1,0,15,8,11,9,61,10,9,1,1,2,0,29,4,2,0,0,0,0,0,3,0,0,0,0,0,15,1,0,7,0,3,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0
"Frio County, Texas","18,385","14,595","8,518",719,130,199,9,"5,020","3,790","3,767",32,63,1,0,"3,627",3,0,0,10,0,0,21,0,9,1,21,2,1,0,0,1,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"Gaines County, Texas","21,598","17,834","15,175",282,112,75,10,"2,180","3,764","3,690",16,151,11,8,"3,459",7,5,0,6,6,2,8,4,7,0,57,0,1,1,13,7,0,23,0,0,0,4,0,2,0,4,1,1,0,0,0,12,0,0,0,0,5,0,0,3,0,0,2,2,0,0,0,5,1,1,3,0,0,0,0,0
"Galveston County, Texas","350,682","303,576","214,512","44,229","2,703","12,482",296,"29,354","47,106","45,143","2,898","5,061","2,195",167,"32,926",235,162,11,799,43,5,380,97,141,23,"1,800",286,97,4,305,89,8,732,76,169,11,0,0,10,0,6,0,0,0,7,0,151,12,2,81,10,13,1,11,17,0,2,0,2,0,0,0,10,7,2,0,0,1,0,2,2
"Garza County, Texas","5,816","5,360","4,325",297,32,28,0,678,456,416,45,13,2,0,329,0,2,1,5,0,5,10,4,0,0,30,15,6,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,5,0,0,0,0
"Gillespie County, Texas","26,725","23,364","21,373",110,165,131,1,"1,584","3,361","3,278",75,430,52,9,"2,651",7,3,7,10,1,1,30,0,2,0,73,0,8,0,15,1,0,43,0,5,1,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glasscock County, Texas","1,116",966,858,8,7,0,3,90,150,139,4,8,0,0,121,6,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"Goliad County, Texas","7,012","5,987","5,127",276,31,28,0,525,"1,025",979,35,85,6,0,828,0,0,0,18,0,0,0,0,6,1,36,7,4,0,3,5,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Gonzales County, Texas","19,653","16,388","11,341","1,186",156,67,10,"3,628","3,265","3,185",109,154,25,7,"2,780",0,0,0,55,1,0,41,1,12,0,67,4,0,0,22,0,0,32,1,5,1,0,0,0,0,2,0,0,0,0,0,12,0,0,5,5,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
"Gray County, Texas","21,227","18,500","14,631",868,205,128,0,"2,668","2,727","2,674",147,450,43,0,"2,002",3,0,1,2,3,5,13,5,0,0,49,0,1,0,10,0,0,28,4,0,0,0,0,0,0,3,0,0,3,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Grayson County, Texas","135,543","121,410","99,852","7,663","2,387","1,990",83,"9,435","14,133","13,567","1,585","4,430",535,77,"6,502",122,27,8,110,4,0,115,14,27,11,528,191,20,11,73,25,8,158,6,11,3,0,7,3,0,0,0,2,0,0,10,33,5,0,23,0,0,0,1,0,0,1,0,3,0,0,0,5,1,4,0,0,0,0,0,0
"Gregg County, Texas","124,239","112,514","73,043","25,262",818,"1,639",55,"11,697","11,725","11,191","1,506","1,866",354,39,"6,894",148,26,12,222,2,2,97,5,17,1,486,160,23,2,89,21,0,153,4,19,5,1,0,7,2,0,0,0,0,0,0,41,0,1,23,0,7,0,4,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,4
"Grimes County, Texas","29,268","26,090","18,591","3,915",242,104,15,"3,223","3,178","3,081",217,452,45,3,"2,272",9,6,0,27,3,0,33,11,3,0,88,10,1,2,19,7,0,35,4,0,0,0,0,8,0,1,0,0,1,0,0,8,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Guadalupe County, Texas","172,706","139,176","103,127","12,805","1,384","3,281",419,"18,160","33,530","32,023","1,686","2,608","1,445",109,"24,905",139,222,16,476,19,0,195,97,72,34,"1,371",230,99,10,236,81,2,448,81,134,21,6,0,13,0,6,0,0,0,0,4,128,17,6,68,7,8,2,7,4,0,3,0,1,0,5,0,8,1,7,0,0,0,0,0,0
"Hale County, Texas","32,522","26,268","16,925","1,496",304,164,32,"7,347","6,254","6,109",158,321,51,21,"5,388",14,3,1,63,0,0,80,0,4,5,138,25,7,0,30,0,0,65,0,7,0,0,0,1,2,0,0,0,1,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0
"Hall County, Texas","2,825","2,497","1,896",204,14,9,0,374,328,297,15,44,2,0,231,0,0,0,0,1,0,3,1,0,0,14,0,0,0,3,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,1,15,1,0,9,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
"Hamilton County, Texas","8,222","7,600","7,138",32,49,38,2,341,622,592,16,164,2,1,393,1,5,0,3,0,0,4,0,1,2,24,1,0,3,0,7,0,3,4,0,0,0,0,2,0,0,0,0,3,1,0,6,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hansford County, Texas","5,285","4,581","3,248",15,33,10,3,"1,272",704,684,18,36,0,1,587,1,0,0,1,0,0,36,0,3,1,18,0,0,0,7,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hardeman County, Texas","3,549","3,246","2,748",143,18,18,6,313,303,279,33,66,2,0,163,1,0,1,3,0,2,7,1,0,0,22,4,3,1,3,1,0,2,0,4,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hardin County, Texas","56,231","52,815","48,005","3,072",259,411,35,"1,033","3,416","3,317",402,"1,044",152,26,"1,643",13,3,1,15,0,3,8,0,4,3,86,23,12,0,5,8,0,28,3,0,0,0,0,0,0,4,2,0,0,0,1,11,2,0,3,0,0,0,3,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Harris County, Texas","4,731,145","3,930,990","1,720,356","907,063","55,011","349,268","4,141","895,151","800,155","772,000","30,616","32,574","27,642","1,176","628,554","5,543","3,704",913,"20,537",619,99,"14,964","1,231","3,060",768,"25,447","3,856","1,280",127,"4,547",775,104,"10,472",709,"2,259",191,143,23,466,96,188,46,15,54,13,83,"2,429",426,30,"1,326",70,167,7,44,228,12,79,12,14,0,14,0,263,66,157,24,6,9,1,16,16
"Harrison County, Texas","68,839","63,843","43,925","13,582",715,491,41,"5,089","4,996","4,759",685,"1,103",141,21,"2,538",57,28,1,83,0,1,89,4,3,5,221,63,0,0,25,14,9,80,13,4,0,0,0,7,5,1,0,0,0,0,0,14,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Hartley County, Texas","5,382","4,840","3,746",197,30,24,5,838,542,522,32,44,2,5,433,5,0,0,1,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,1,0,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Haskell County, Texas","5,416","4,950","4,132",205,44,28,5,536,466,455,47,90,9,0,291,2,0,0,8,0,0,5,1,0,2,7,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hays County, Texas","241,067","192,699","147,092","9,881","2,175","5,091",189,"28,271","48,368","46,752","1,867","3,541","1,996",160,"35,581",123,105,10,450,35,2,307,"2,437",121,17,"1,499",193,75,2,239,103,6,669,62,121,9,0,0,2,11,0,4,0,0,0,3,106,13,0,51,0,8,0,10,15,0,4,4,1,0,0,0,11,3,7,0,1,0,0,0,0
"Hemphill County, Texas","3,382","2,916","2,372",5,29,11,0,499,466,436,2,82,13,1,333,4,0,0,0,0,0,0,0,1,0,21,3,4,3,3,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"Henderson County, Texas","82,150","75,317","64,501","4,790",675,526,31,"4,794","6,833","6,564",635,"1,736",186,35,"3,795",27,12,2,65,2,4,48,10,7,0,232,84,2,0,35,8,7,68,8,7,1,2,0,0,8,0,0,0,0,0,2,32,0,6,17,4,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1
"Hidalgo County, Texas","870,781","517,653","300,554","4,748","6,155","9,048",175,"196,973","353,128","350,230",707,"2,196",653,30,"343,283",60,37,9,794,23,2,"1,909",44,398,85,"2,704",108,20,0,423,42,4,"1,684",13,324,30,4,0,39,0,0,2,0,10,0,1,176,5,3,112,4,9,0,0,35,0,8,0,0,0,0,0,16,0,16,0,0,0,0,2,2
