Total,County,Population,White,Black,AIAN,Asian,NHOPI,Other,White_pct,Black_pct,AIAN_pct,Asian_pct,NHOPI_pct,Other_pct
74,VICTORIA,91319,71149,6843,2010,1758,108,28345,0.779125921221214,0.0749351175549448,0.0220107535124125,0.0192511963556325,0.00118266735290575,0.310395427019569
30,WALKER,76400,47786,17359,1582,1335,121,13617,0.625471204188482,0.227212041884817,0.0207068062827225,0.0174738219895288,0.00158376963350785,0.178232984293194
36,WALLER,56794,33475,12827,1585,1063,64,15339,0.589410853259147,0.225851322322781,0.0279078775927035,0.0187167658555481,0.00112687959995774,0.270081346621122
5,WARD,11644,8803,666,305,113,43,4101,0.756011679835108,0.0571968395740295,0.0261937478529715,0.00970456887667468,0.00369288904156647,0.35219855719684
23,WASHINGTON,35805,27043,6044,700,694,68,5300,0.755285574640413,0.168803239770982,0.0195503421309873,0.0193827677698645,0.00189917609272448,0.148024018991761
89,WEBB,267114,209337,1647,2995,1774,130,159334,0.783699094768526,0.00616590669152497,0.0112124411300044,0.00664135912007607,0.000486683588280659,0.596501868116235
29,WHARTON,41570,29107,6038,725,264,28,11944,0.700192446475824,0.145248977628097,0.017440461871542,0.00635073370218908,0.00067356266538369,0.2873225884051
3,WHEELER,4990,4279,137,159,53,6,940,0.85751503006012,0.0274549098196393,0.0318637274549098,0.0106212424849699,0.00120240480961924,0.188376753507014
64,WICHITA,129350,99899,16588,4906,3968,440,18335,0.772315423270197,0.128241206030151,0.0379281020487051,0.0306764592191728,0.00340162350212601,0.141747197526092
5,WILBARGER,12887,9392,1259,482,632,24,2542,0.7287964615504,0.0976953519050206,0.0374020330565686,0.0490416698998991,0.00186234189493288,0.197253045704974
17,WILLACY,20164,14903,558,219,211,19,10520,0.739089466375719,0.0276730807379488,0.0108609402896251,0.0104641936123785,0.000942273358460623,0.52172188057925
313,WILLIAMSON,609017,460404,51215,17541,64796,2030,109392,0.755978897140802,0.0840945326649338,0.0288021516640751,0.106394402783502,0.00333324028721694,0.179620601723761
36,WILSON,49753,43700,1101,1468,545,99,12513,0.878338994633489,0.0221293188350451,0.0295057584467268,0.0109541133197998,0.00198982975900951,0.251502421964505
1,WINKLER,7791,5563,210,256,114,14,3228,0.714029007829547,0.0269541778975741,0.0328584263894237,0.0146322680015402,0.00179694519317161,0.414324220254139
26,WISE,68632,61496,1261,2697,644,83,10295,0.896025177759646,0.0183733535377084,0.0392965380580487,0.00938337801608579,0.00120934840890547,0.150002914092552
32,WOOD,44843,40287,2121,1537,367,30,4160,0.898401088241197,0.0472983520281872,0.0342751377026515,0.0081841090025199,0.000669000735900809,0.0927681020449122
3,YOAKUM,7694,5526,110,148,72,5,3656,0.718221991161944,0.0142968546919678,0.0192357681310112,0.00935794125292436,0.00064985703145308,0.475175461398492
8,YOUNG,17867,15872,324,582,132,19,2487,0.88834163541725,0.0181339900374993,0.0325740191414339,0.00738792186712934,0.00106341299602619,0.139195164269323
5,ZAPATA,13889,11720,39,138,41,8,8312,0.843833249334005,0.00280797753617971,0.0099359205126359,0.00295197638418893,0.000575995392036864,0.598459212326301
7,ZAVALA,9670,7887,133,103,42,24,4837,0.815615305067218,0.0137538779731127,0.0106514994829369,0.00434332988624612,0.00248190279214064,0.500206825232678
